log2(N),Time Using Legacy (sec),Time Using New (sec),,
6,0.000105,0.002274,0.046174142,1
7,0.000203,0.001953,0.103942652,1
9,0.000329,0.00686,0.047959184,1
11,0.000568,0.005499,0.103291508,1
12,0.000559,0.01196,0.04673913,1
13,0.000875,0.014366,0.060907699,1
15,0.00336,0.013814,0.243231504,1
16,0.00136,0.019301,0.07046267,1
17,0.007139,0.039558,0.180469184,1
18,0.00718,0.031726,0.226312803,1
19,0.015575,0.033762,0.461317457,1
19,0.016608,0.036289,0.457659346,1
19,0.018224,0.045524,0.400316317,1
20,0.014898,0.036507,0.40808612,1
20,0.016855,0.064942,0.259539281,1
20,0.01861,0.063266,0.294154838,1
21,0.027364,0.050183,0.54528426,1
21,0.040752,0.046512,0.876160991,1
21,0.042138,0.084879,0.496447885,1
22,0.034056,0.057043,0.597023298,1
22,0.045394,0.077323,0.587069824,1
22,0.055691,0.069581,0.80037654,1
23,0.067513,0.075931,0.889136189,1
23,0.096663,0.074996,1.288908742,1
23,0.096303,0.069511,1.385435399,1
24,0.070028,0.096643,0.724604989,1
25,0.212485,0.110104,1.929857226,1
25,0.214744,0.160087,1.341420603,1
25,0.219205,0.136135,1.610203107,1
26,0.206067,0.158699,1.298476991,1
26,0.217878,0.128716,1.692703316,1
26,0.220341,0.144296,1.527006986,1
26,0.431852,0.153982,2.804561572,1
27,0.447557,0.183516,2.438790078,1
27,0.49656,0.189367,2.622209783,1
27,0.512617,0.249994,2.050517212,1
27,0.510994,0.184023,2.776794205,1
27,0.509354,0.205148,2.482861154,1
27,0.523348,0.236043,2.217172295,1
27,0.525232,0.20871,2.516563653,1
28,0.454384,0.224693,2.022243684,1
28,0.435137,0.222104,1.959158772,1
28,0.519556,0.253917,2.046164692,1
28,0.530978,0.258956,2.050456448,1
28,0.672357,0.299647,2.24383024,1
28,0.65075,0.246931,2.635351576,1
28,0.92024,0.271857,3.385014916,1
28,0.926597,0.273925,3.382666788,1
28,0.957624,0.278515,3.438321096,1
29,1.11324,0.387464,2.873144344,1
29,1.11822,0.293502,3.809922931,1
29,1.15099,0.306124,3.759881617,1
29,1.15069,0.332574,3.45995177,1
29,1.2,0.394364,3.042874096,1
29,1.18743,0.402302,2.951588608,1
30,0.993904,0.490298,2.027142676,1
30,1.27582,0.481878,2.6475996,1
30,1.35564,0.51041,2.655982445,1
30,1.62842,0.445424,3.655887424,1
30,1.95538,0.512696,3.813917019,1
30,2.35628,0.494944,4.7607002,1
30,2.36697,0.598868,3.952406874,1
31,2.6679,0.570864,4.673442361,1
31,2.68734,0.53942,4.981906492,1
31,2.83726,0.616196,4.604476498,1
31,2.88701,0.669332,4.313270544,1
31,2.86185,0.672384,4.256273201,1
31,2.85136,0.744904,3.827822109,1
32,2.48744,0.751796,3.30866352,1
32,2.81062,0.810404,3.468171431,1
